#{"t_start": 1754093458.0675297, "env_id": "None"}
r,l,t
69.679025,365,95.757386
63.620877,365,96.029565
73.475266,365,96.277564
163.074113,365,96.530562
90.319529,365,96.781181
39.061839,365,97.056747
78.891955,365,97.317441
95.695615,365,97.571525
23.066551,365,97.825558
98.889601,365,98.101644
41.689969,365,98.353554
72.806625,365,98.593555
59.895333,365,98.861683
90.302554,365,99.132352
106.005753,365,99.390352
133.285457,365,99.648188
27.885791,365,99.909187
164.225226,365,100.170363
94.372308,365,100.430891
151.307318,365,100.68662
124.458497,365,100.952619
137.066758,365,101.224671
110.444308,365,101.494285
100.998911,365,101.760802
93.93893,365,102.032891
72.193919,365,102.299806
36.477179,365,102.559975
102.207952,365,102.826241
87.506774,365,103.097244
119.670781,365,103.359245
133.479175,365,103.624242
115.652964,365,103.888044
82.153426,365,104.152042
119.514027,365,104.452746
98.116872,365,104.72173
111.762487,365,104.986869
138.798291,365,105.251873
150.612776,365,105.517192
88.429238,365,105.781215
112.909961,365,106.044193
49.026368,365,106.303419
131.622268,365,106.567134
174.177123,365,106.824725
100.763936,365,107.097173
79.527795,365,107.350104
44.497976,365,107.616177
168.394425,365,107.881068
92.345337,365,108.146068
130.109653,365,108.40476
56.355502,365,108.673761
100.802987,365,108.933183
181.234593,365,109.197188
80.170882,365,109.47091
103.489125,365,109.740911
56.132067,365,110.003011
90.518638,365,110.265912
90.548763,365,110.542646
106.903048,365,110.826632
34.380294,365,111.109864
107.436933,365,111.377782
32.710134,365,111.640774
78.332086,365,111.915777
85.05473,365,112.192868
98.972314,365,112.453253
122.548697,365,112.707253
106.205175,365,112.996926
117.101505,365,113.265951
124.258792,365,113.528953
154.416621,365,113.802958
103.75011,365,114.080497
122.26683,365,114.429807
103.086544,365,114.698809
119.437169,365,114.982495
129.5372,365,115.277348
56.014303,365,115.575486
50.699866,365,115.878744
90.843642,365,116.14574
83.573045,365,116.420765
131.361331,365,116.68491
102.343478,365,116.94863
118.228972,365,117.215793
109.785143,365,117.497386
123.608128,365,117.766155
128.357144,365,118.038231
133.521691,365,118.308146
88.753919,365,118.580303
180.349203,365,118.8433
131.849918,365,119.106418
155.594917,365,119.379418
170.516599,365,119.654419
94.535805,365,119.923927
133.59323,365,120.184336
156.83005,365,120.458664
151.073644,365,120.752774
114.653437,365,121.032768
38.695618,365,121.297765
78.112757,365,121.572768
130.483015,365,121.847839
148.59604,365,122.130839
136.483788,365,122.387842
85.398299,365,122.653841
93.039656,365,122.923843
42.544429,365,123.18438
59.619085,365,123.447067
123.297836,365,123.719275
100.302327,365,124.003368
51.049262,365,124.277366
77.402632,365,124.540942
149.930921,365,124.809941
45.669523,365,125.09094
73.109132,365,125.365311
140.204334,365,125.644003
102.887372,365,125.906004
132.471245,365,126.20596
54.126171,365,126.477472
92.366239,365,126.748353
105.935418,365,127.023176
113.176676,365,127.301284
178.973685,365,127.589199
160.960291,365,127.867288
105.141105,365,128.138295
157.52867,365,128.416287
90.381129,365,128.692776
182.269125,365,128.972778
159.070623,365,129.245777
117.875104,365,129.521778
107.471358,365,129.798781
175.28702,365,130.057973
106.483182,365,130.321971
117.429407,365,130.609631
124.396219,365,130.87563
122.934461,365,131.145785
134.471271,365,131.409724
81.737454,365,131.698949
132.131493,365,131.970537
135.912069,365,132.249537
45.374648,365,132.51454
67.87709,365,132.803943
196.286196,365,133.090837
139.108441,365,133.35784
123.788081,365,133.630839
132.980929,365,133.910837
117.947141,365,134.187816
151.891639,365,134.475949
148.230217,365,134.767948
93.854501,365,135.057949
160.122922,365,135.335208
92.50989,365,135.62221
135.142877,365,135.895295
86.666807,365,136.178207
45.908403,365,136.468663
139.958991,365,136.734581
163.594927,365,137.013868
81.49108,365,137.289805
96.958712,365,137.564447
118.959247,365,137.834451
134.24782,365,138.116189
110.548551,365,138.403193
84.553907,365,138.683134
77.626682,365,138.957964
125.160098,365,139.217045
92.843542,365,139.500144
85.346791,365,139.770786
118.285326,365,140.042706
175.298413,365,140.323792
130.715704,365,140.701778
117.209531,365,141.045774
125.384177,365,141.399775
147.453963,365,141.713775
156.257815,365,142.049774
130.052477,365,142.355774
130.067631,365,142.674777
154.333802,365,143.008774
109.434577,365,143.335794
129.163536,365,143.647774
103.803461,365,143.927777
59.712905,365,144.207367
122.265737,365,144.486229
138.432574,365,144.755233
118.897041,365,145.030982
137.331479,365,145.316979
101.069745,365,145.611073
122.834861,365,145.877072
121.838909,365,146.15708
66.808837,365,146.436832
156.261135,365,146.729838
160.433694,365,146.993048
80.266188,365,147.272786
64.920067,365,147.547806
176.193657,365,147.847956
162.613545,365,148.132962
105.824722,365,148.397956
128.718521,365,148.684045
114.747567,365,148.962959
119.564287,365,149.238698
201.921283,365,149.512628
140.183256,365,149.81654
92.053162,365,150.12254
96.977021,365,150.438331
164.459772,365,150.753801
148.723238,365,151.077585
99.563238,365,151.408622
105.10971,365,151.684641
117.29403,365,151.95781
84.234431,365,152.294811
127.851229,365,152.709811
160.553803,365,153.07592
127.684225,365,153.386772
15.682072,365,153.689071
158.635344,365,153.990108
170.237838,365,154.270106
69.150972,365,154.614125
91.300579,365,155.053104
137.047118,365,155.415109
130.912236,365,155.715202
131.088384,365,155.996349
117.763474,365,156.282865
95.3609,365,156.582671
146.308655,365,156.857672
219.931402,365,157.129166
128.449062,365,157.407847
125.560652,365,157.710956
101.26387,365,158.020957
101.086786,365,158.302473
161.582373,365,158.566541
68.451887,365,158.857458
167.803974,365,159.136542
72.946555,365,159.404454
104.41814,365,159.678546
93.519761,365,159.970449
155.207496,365,160.249344
95.383885,365,160.526384
122.40201,365,160.810683
117.189505,365,161.09943
92.886715,365,161.390269
137.295958,365,161.768134
149.001482,365,162.064129
77.327311,365,162.355212
103.437613,365,162.633156
106.100605,365,162.913244
155.556704,365,163.184241
156.511982,365,163.466174
190.688354,365,163.738345
132.432126,365,164.03696
139.737284,365,164.334956
105.646689,365,164.626849
113.162015,365,164.915308
142.092961,365,165.195325
145.155315,365,165.478586
98.989672,365,165.766588
84.654669,365,166.050444
151.388811,365,166.32736
124.628103,365,166.59336
97.650784,365,166.880534
140.410169,365,167.15951
61.551935,365,167.432531
302.619809,365,167.733536
112.190886,365,168.067375
158.126086,365,168.48991
36.548387,365,168.787911
147.532509,365,169.056002
115.643279,365,169.341912
130.34132,365,169.61838
81.999565,365,169.898371
177.342434,365,170.176371
129.29382,365,170.456318
69.408549,365,170.734295
159.26595,365,171.015104
62.63391,365,171.292186
196.795538,365,171.583307
115.377032,365,171.862304
150.293288,365,172.149868
147.391393,365,172.42499
116.714603,365,172.711911
141.451514,365,172.985909
107.190061,365,173.265907
111.912199,365,173.531924
150.998956,365,173.81966
124.216147,365,174.113657
75.962956,365,174.382695
113.552507,365,174.655698
89.093216,365,174.938778
199.029634,365,175.203843
121.286945,365,175.468908
134.15248,365,175.750824
82.786464,365,176.040826
198.057718,365,176.319909
103.259784,365,176.592706
97.981597,365,176.871798
152.526735,365,177.157706
122.192558,365,177.430729
64.722987,365,177.704707
106.080705,365,177.985425
189.928464,365,178.26333
121.241798,365,178.534332
101.526336,365,178.814411
323.001932,365,179.08833
161.240212,365,179.3812
127.477816,365,179.660098
89.977559,365,179.942195
123.101632,365,180.212185
106.227674,365,180.509286
182.535543,365,180.814281
178.574129,365,181.090456
147.684289,365,181.362436
93.243071,365,181.648429
201.666568,365,181.930664
134.353642,365,182.221857
156.562662,365,182.491845
129.0229,365,182.784843
114.928968,365,183.064193
131.252684,365,183.335065
170.842493,365,183.608065
93.326537,365,183.886742
150.651848,365,184.169825
157.698244,365,184.436821
68.475899,365,184.72682
84.348806,365,185.014821
141.693188,365,185.301533
102.463409,365,185.586535
126.718046,365,185.864536
94.651169,365,186.160399
136.284136,365,186.439489
102.483895,365,186.706396
132.131294,365,186.981693
54.169128,365,187.278693
124.975945,365,187.562696
118.899542,365,187.844694
153.454071,365,188.136692
91.318615,365,188.4157
95.875478,365,188.728918
97.823512,365,189.10396
161.085355,365,189.437811
82.048879,365,189.76824
152.356428,365,190.069006
81.121436,365,190.344004
110.976568,365,190.62367
92.106857,365,190.903669
145.820898,365,191.184683
155.092386,365,191.470869
61.917954,365,191.746886
151.495736,365,192.041951
102.214025,365,192.333612
112.425268,365,192.615853
198.70176,365,192.900713
131.445871,365,193.197644
85.102286,365,193.466554
165.007951,365,193.738551
72.960077,365,194.014552
152.940594,365,194.315646
198.99131,365,194.65665
112.436793,365,194.92865
171.114067,365,195.197113
118.951197,365,195.485957
117.632036,365,195.76596
141.45441,365,196.039004
169.928667,365,196.354081
128.669084,365,196.658084
100.55126,365,196.935224
97.40854,365,197.222131
106.857624,365,197.487138
105.486548,365,197.776131
113.438045,365,198.042225
143.431099,365,198.318288
113.884795,365,198.611371
95.762638,365,198.895462
94.3459,365,199.163458
115.805725,365,199.43446
106.261638,365,199.712275
117.817216,365,200.006265
133.070009,365,200.291475
143.961428,365,200.571653
112.883988,365,200.859661
123.766584,365,201.15505
83.064119,365,201.44953
85.4505,365,201.731662
195.062175,365,202.008128
162.930699,365,202.299839
99.224384,365,202.583842
196.774003,365,202.854845
80.81399,365,203.12984
170.459582,365,203.414605
74.51801,365,203.697382
131.958444,365,203.966831
49.979657,365,204.251824
155.449984,365,204.567943
142.819816,365,204.856561
117.114217,365,205.134431
131.011246,365,205.425416
69.090763,365,205.739618
153.705317,365,206.030619
161.983582,365,206.332209
127.875747,365,206.616741
64.568941,365,206.925654
98.505478,365,207.214652
-70.059312,365,207.545784
111.206167,365,207.881786
122.970069,365,208.195491
112.508403,365,208.487439
139.662989,365,208.768185
65.995827,365,209.045189
85.95024,365,209.329075
93.333091,365,209.604194
119.57255,365,209.876191
172.595715,365,210.156187
107.597516,365,210.44791
113.751582,365,210.733909
93.666702,365,211.016913
174.819956,365,211.284929
-91.191261,365,211.567922
18.202776,365,211.841703
140.909746,365,212.117484
115.018118,365,212.400728
69.99844,365,212.696815
44.069768,365,212.974098
175.304403,365,213.249513
151.15523,365,213.517531
123.667967,365,213.805516
181.450415,365,214.090791
0.090414,365,214.372584
163.894768,365,214.657582
73.834463,365,214.94445
149.732427,365,215.218455
66.537707,365,215.489223
143.213018,365,215.77024
221.673657,365,216.069717
94.746932,365,216.344923
88.097316,365,216.627926
138.563075,365,216.917108
205.900385,365,217.211134
112.62267,365,217.505338
127.88342,365,217.784666
186.889735,365,218.068417
128.162802,365,218.365409
110.117722,365,218.639567
97.862316,365,218.911465
124.0112,365,219.184808
70.508526,365,219.479805
160.869772,365,219.766805
-248.01362,365,220.05172
-53.905439,365,220.32972
119.07905,365,220.620589
105.157149,365,220.892087
78.5173,365,221.171087
78.587448,365,221.445819
138.409412,365,221.74885
76.577625,365,222.025834
131.673405,365,222.300836
79.796653,365,222.570749
112.543842,365,222.855478
143.757583,365,223.140478
142.840067,365,223.412636
87.493805,365,223.683721
63.148562,365,223.97164
109.10607,365,224.243035
135.398662,365,224.518613
96.047681,365,224.797617
136.849057,365,225.096453
76.122013,365,225.38852
149.393738,365,225.668185
153.121376,365,225.945176
67.250661,365,226.241614
153.195638,365,226.537767
95.400607,365,226.827656
87.39532,365,227.108677
125.435517,365,227.396659
79.242521,365,227.667694
166.364448,365,227.939657
104.000223,365,228.223967
101.258892,365,228.50605
123.71224,365,228.782191
141.684286,365,229.056183
70.77606,365,229.341186
86.597996,365,229.62744
82.195156,365,229.908437
84.338007,365,230.190442
126.526474,365,230.467444
162.208461,365,230.759812
177.574458,365,231.045615
106.825949,365,231.331004
124.00344,365,231.607976
120.511328,365,231.883063
114.392527,365,232.158196
136.187835,365,232.43767
161.727595,365,232.70867
164.890638,365,232.990669
154.98921,365,233.269943
140.034813,365,233.547143
117.089991,365,233.831438
189.288483,365,234.114437
160.424253,365,234.392516
154.885728,365,234.652539
160.353798,365,234.928516
125.431821,365,235.28737
171.766731,365,235.567616
145.209659,365,235.847758
125.075525,365,236.12676
149.52967,365,236.422035
112.170209,365,236.707038
167.877324,365,236.991945
93.700316,365,237.269945
117.331743,365,237.554008
88.440605,365,237.838109
131.602088,365,238.127025
197.190747,365,238.412091
177.390441,365,238.687012
155.111416,365,238.95801
167.455546,365,239.227
114.616566,365,239.498001
198.452484,365,239.785006
80.129528,365,240.058999
169.63514,365,240.340776
119.011682,365,240.73178
81.764675,365,241.115964
62.145019,365,241.441947
70.936849,365,241.736671
227.232841,365,242.060703
134.956038,365,242.477929
150.885208,365,242.875333
114.91711,365,243.282705
98.583029,365,243.662691
69.924766,365,244.011709
50.956824,365,244.307779
201.843012,365,244.610936
240.504265,365,244.908937
140.48046,365,245.21994
197.295934,365,245.519027
81.210657,365,245.810936
146.717016,365,246.109936
142.415383,365,246.416939
150.938342,365,246.70302
96.339342,365,246.989968
116.415269,365,247.278061
103.461593,365,247.595062
134.299685,365,247.907064
161.348818,365,248.235702
168.730413,365,248.568441
113.094742,365,248.918439
91.669906,365,249.211524
96.922358,365,249.494508
125.979762,365,249.783508
141.00492,365,250.078508
260.455567,365,250.38077
148.274522,365,250.666266
164.528139,365,250.954546
142.856635,365,251.262545
70.17862,365,251.554635
123.129816,365,251.829728
160.059776,365,252.117633
155.656094,365,252.408635
159.037937,365,252.682635
103.355743,365,252.976608
82.875182,365,253.261693
93.00078,365,253.551606
60.87784,365,253.826609
137.841831,365,254.165168
119.567509,365,254.509171
135.847747,365,254.816278
146.728778,365,255.10472
94.098432,365,255.377716
117.365576,365,255.658904
88.739761,365,255.957042
163.240521,365,256.24512
140.634402,365,256.539615
100.019331,365,256.834523
147.563278,365,257.135438
83.899407,365,257.420438
137.487842,365,257.703445
129.970219,365,257.979441
140.223237,365,258.28218
146.559071,365,258.567178
138.477363,365,258.84915
145.424975,365,259.138151
113.802085,365,259.43234
136.365133,365,259.715251
67.450108,365,260.010251
88.265671,365,260.301775
147.957222,365,260.645091
168.826829,365,260.958629
96.038609,365,261.254711
154.279465,365,261.544731
124.031233,365,261.855726
117.95481,365,262.142536
107.706576,365,262.428477
