#{"t_start": 1754094254.136626, "env_id": "None"}
r,l,t
42.954744,365,143.086761
50.732391,365,143.24767
26.607511,365,143.419034
22.59937,365,144.648611
28.541893,365,144.831606
6.418872,365,144.998609
133.471372,365,145.156608
59.647256,365,145.312697
35.437468,365,146.505836
-13.848505,365,146.721841
87.528984,365,146.897836
13.799123,365,147.060783
14.207769,365,147.221781
103.985653,365,147.376705
46.930837,365,148.634086
5.015776,365,148.826072
32.856954,365,148.998257
39.727411,365,149.15917
21.028013,365,149.31417
16.989712,365,150.502775
32.621196,365,150.706791
70.764362,365,150.887814
32.239203,365,151.055811
37.541269,365,151.217077
67.67759,365,151.373166
78.93778,365,152.572995
76.689046,365,152.776002
35.358075,365,152.945992
36.068321,365,153.100013
47.531356,365,153.259268
33.661092,365,153.412262
54.74434,365,154.619387
-5.118601,365,154.803442
46.06178,365,154.974441
23.957142,365,155.136536
10.091755,365,155.293746
-36.416643,365,156.522307
35.45279,365,156.73531
4.057511,365,156.916292
18.075836,365,157.080326
35.757932,365,157.239377
-24.927815,365,157.390292
18.097115,365,158.609073
38.139839,365,158.807075
38.847069,365,159.000091
34.934681,365,159.230174
81.610195,365,159.41118
36.877118,365,159.584573
2.626318,365,160.842988
26.827726,365,161.026708
1.944647,365,161.194717
18.279918,365,161.35471
69.449055,365,161.508621
75.990469,365,162.713453
76.280864,365,162.91546
64.903844,365,163.087456
51.274155,365,163.256551
6.048205,365,163.412714
56.27551,365,163.566718
-4.955872,365,164.805603
22.070172,365,164.995614
67.524675,365,165.154685
39.81156,365,165.307597
21.271165,365,165.461601
42.3052,365,166.750302
50.778407,365,166.972403
27.702642,365,167.149403
55.326562,365,167.313404
109.13471,365,167.473354
88.396507,365,167.634339
47.115876,365,168.921923
37.219873,365,169.131017
14.461275,365,169.320013
54.767288,365,169.487928
79.845246,365,169.652925
75.110351,365,169.812747
14.124828,365,171.043139
50.965851,365,171.229228
50.840572,365,171.402405
73.486196,365,171.562191
41.856616,365,171.721189
54.962626,365,172.929029
31.924309,365,173.135024
59.794534,365,173.314815
10.73897,365,173.481109
39.825899,365,173.643108
112.202476,365,173.798106
19.305615,365,175.02803
63.27535,365,175.273451
38.432539,365,175.447503
100.557331,365,175.611498
26.91572,365,175.770854
-10.499421,365,176.948506
53.792331,365,177.160116
15.744391,365,177.337188
-8.940033,365,177.501202
51.300923,365,177.658196
68.642417,365,177.812197
62.344267,365,179.027211
1.160734,365,179.227309
83.053477,365,179.391312
-0.858788,365,179.549305
33.341432,365,179.702303
13.894496,365,179.855874
-12.630209,365,181.093482
68.827503,365,181.279564
42.474448,365,181.442515
19.9365,365,181.598261
15.602139,365,181.750335
7.842324,365,183.021277
-25.178539,365,183.2351
58.780382,365,183.409193
27.003631,365,183.5701
44.181898,365,183.725199
54.312814,365,183.88017
55.353841,365,185.141687
25.765221,365,185.337551
18.832979,365,185.512631
13.392805,365,185.675499
3.777481,365,185.834407
37.372854,365,187.021747
34.627905,365,187.236837
73.539526,365,187.415976
-5.985782,365,187.578996
-5.515051,365,187.734976
87.545107,365,187.897589
27.931858,365,189.12398
80.720544,365,189.325097
-13.701272,365,189.494092
42.604005,365,189.654223
